material_type;reinforcement_type;sigma_C_B;E;E_c;tau__M;tau__12M;G__12;eps;mu;h__p;V;T__gdry;climate_conditions;climate_conditions_time_spent;s__max;sigma__B_min;sigma__B_max;sigma__B_mean;N_current
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;182
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;183
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;184
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;185
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;186
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;187
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;188
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;189
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;190
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;191
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;192
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;193
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;194
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;195
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;196
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;197
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;198
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;199
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;200
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;201
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;202
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;203
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;204
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;205
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;206
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;207
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;208
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;209
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;210
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;211
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;212
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;213
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;214
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;215
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;216
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;217
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;218
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;219
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;220
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;221
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;222
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;223
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;224
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;225
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;226
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;227
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;228
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;229
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;230
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;231
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;232
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;233
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;234
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;235
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;236
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;237
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;238
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;239
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;240
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;241
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;242
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;243
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;244
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;245
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;246
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;247
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;248
